1;WOJEWÓDZTWO;TYP;NAZWA URZĘDU;KOD;MIASTO;ULICA;NR BUDYNKU / LOKALU;adres;POCZTA;NR TELEFONU   wraz z nr kierunkowym  ;NR FAXU;ADRES E-MAIL URZĘDU;kod jednostki;ADRESY STRON BIP JEDNOSTEK KAS
31;dolnośląskie;US;Urząd Skarbowy w  Ząbkowicach Śląskich;57-200;Ząbkowice Śląskie;Ludwika Waryńskiego ;2A;57-200 Ząbkowice Śląskie, Ludwika Waryńskiego  2A;Ząbkowice Śląskie;(74) 815-13-82;(74) 815-52-94;us0230@ds.mofnet.gov.pl;0230;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-zabkowicach-slaskich
32;dolnośląskie;US;Urząd Skarbowy w Zgorzelcu;59-900;Zgorzelec;Bohaterów II Armii Wojska Polskiego ;8B;59-900 Zgorzelec, Bohaterów II Armii Wojska Polskiego  8B;Zgorzelec;(75) 649-48-00;(75) 649-48-90;us0231@ds.mofnet.gov.pl;0231;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-zgorzelcu
33;dolnośląskie;US;Urząd Skarbowy w Złotoryi;59-500;Złotoryja;Rynek ;42;59-500 Złotoryja, Rynek  42;Złotoryja;(76) 878-35-09;(76) 878-32-28;us0232@ds.mofnet.gov.pl;0232;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-zlotoryi
34;dolnośląskie;US;Urząd skarbowy w Górze;56-200;Góra;Poznańska ;4;56-200 Góra, Poznańska  4;Góra;(65) 544-18-71;(65) 544-18-76;us0233@ds.mofnet.gov.pl;0233;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-gorze
35;dolnośląskie;US;Urząd Skarbowy w Polkowicach;59-100;Polkowice;Zachodnia ;10;59-100 Polkowice, Zachodnia  10;Polkowice;(76) 746-13-01;(76) 746-13-05;us0234@ds.mofnet.gov.pl;0234;www.dolnoslaskie.kas.gov.pl/urzad-skarbowy-w-polkowicach
36;dolnośląskie;WUS;Dolnośląski Urząd Skarbowy we Wrocławiu;51-130;Wrocław;Żmigrodzka;141;51-130 Wrocław, Żmigrodzka 141;Wrocław;(71) 32-36- 800;(71) 32 36 805;us0271@ds.mofnet.gov.pl;0271;www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-skarbowy-we-wroclawiu
37;dolnośląskie;UCS;Dolnośląski Urząd Celno-Skarbowy we Wrocławiu;53-613;Wrocław;Stacyjna;10;53-613 Wrocław, Stacyjna 10;Wrocław;71 355 75 00;71 355 33 06;ucs@wro.mofnet.gov.pl;458000;www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
38;dolnośląskie;DUCS;Delegatura UCS we Wrocławiu;50-950;Wrocław;Podwale;62;50-950 Wrocław, Podwale 62;Wrocław;71 370 54 30;71 344 79 74;;451000;www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
39;dolnośląskie;OC;Oddział Celny I we Wrocławiu;52-437;Wrocław;Karmelkowa;31;52-437 Wrocław, Karmelkowa 31;Wrocław;71 798 61 60;71 798 61 69;;451010;www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
40;dolnośląskie;OC;Oddział Celny II we Wrocławiu;54-234;Wrocław;Białowieska;1;54-234 Wrocław, Białowieska 1;Wrocław;71 373 48 15;71 350 05 28;;451020;www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
41;dolnośląskie;OC;Oddział Celny Towarowy Port Lotniczy Wrocław-Strachowice;50-530;Wrocław;Skarżyńskiego;63;50-530 Wrocław, Skarżyńskiego 63;Wrocław;71 725 41 40;71 373 68 58;;451030;www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
42;dolnośląskie;OC;Oddział Celny Osobowy Port Lotniczy Wrocław-Strachowice;54-530;Wrocław;Graniczna;190;54-530 Wrocław, Graniczna 190;Wrocław;71 725 50 22;71 725 34 34;;451040;www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
43;dolnośląskie;DUCS;Delegatura UCS w Legnicy;59-220;Legnica;Pątnowska;50;59-220 Legnica, Pątnowska 50;Legnica;76 723 41 00;76 862 83 37;;452000;www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
44;dolnośląskie;OC;Oddział Celny w Legnicy;59-220;Legnica;Pątnowska;50;59-220 Legnica, Pątnowska 50;Legnica;76 723 41 20            76 723 41 21;76 862 83 37;;452010;www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
45;dolnośląskie;OC;Oddział Celny w Polkowicach;59-101;Polkowice;Krzywa;3;59-101 Polkowice, Krzywa 3;Polkowice;76 724 96 58;76 724 96 39;;452020;www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
46;dolnośląskie;OC;Oddział Celny w Żarskiej Wsi;59-903;Żarska Wieś;;5;59-903 Żarska Wieś,  5;Zgorzelec;75 771 34 09, 75 775 58 93, 75 775 14 37;75 775 58 93;;452030;www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
47;dolnośląskie;DUCS;Delegatura UCS w Wałbrzychu;58-306;Wałbrzych;Ogrodowa;15;58-306 Wałbrzych, Ogrodowa 15;Wałbrzych;74 846 86 61;74 846 62 06;ucs.wb@wro.mofnet.gov.pl;454000;www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
48;dolnośląskie;OC;Oddział Celny w Wałbrzychu;58-304;Wałbrzych;Ludowa;63;58-304 Wałbrzych, Ludowa 63;Wałbrzych;74 648 84 6074 648 84 45;74 648 84 50;oc454010@wro.mofnet.gov.pl;454010;www.dolnoslaskie.kas.gov.pl/dolnoslaski-urzad-celno-skarbowy-we-wroclawiu
49;kujawsko-pomorskie;IAS;Izba Administracji Skarbowej w Bydgoszczy;85-950;Bydgoszcz;Dr. Emila Warmińskiego ;18;85-950 Bydgoszcz, Dr. Emila Warmińskiego  18;Bydgoszcz;(52) 585-61-00;(52) 584-29-90;is@kp.mofnet.gov.pl;0401;www.kujawsko-pomorskie.kas.gov.pl
50;kujawsko-pomorskie;US;Urząd Skarbowy w Aleksandrowie Kujawskim ;87-700;Aleksandrów Kujawski ;Kościelna ;18;87-700 Aleksandrów Kujawski , Kościelna  18;Aleksandrów Kujawski ;"(54) 282-46-14; (54) 282-21-92";(54) 282-48-00;us0402@kp.mofnet.gov.pl;0402;www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-aleksandrowie-kujawskim
51;kujawsko-pomorskie;US;Urząd Skarbowy w Brodnicy;87-300;Brodnica;Gen. Władysława Sikorskiego ;19;87-300 Brodnica, Gen. Władysława Sikorskiego  19;Brodnica;(56) 495-47-11;(56) 495-47-29;us0403@kp.mofnet.gov.pl;0403;www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-brodnicy
52;kujawsko-pomorskie;US;Pierwszy Urząd Skarbowy w Bydgoszczy;85-950;Bydgoszcz;Fordońska ;77;85-950 Bydgoszcz, Fordońska  77;Bydgoszcz;(52) 561-70-00;(52) 584-82-74;us0404@kp.mofnet.gov.pl;0404;www.kujawsko-pomorskie.kas.gov.pl/pierwszy-urzad-skarbowy-w-bydgoszczy
53;kujawsko-pomorskie;US;Drugi Urząd Skarbowy w Bydgoszczy;85-822;Bydgoszcz;Wojska Polskiego ;20B;85-822 Bydgoszcz, Wojska Polskiego  20B;Bydgoszcz;(52) 568 21 00;(52) 372-79-52 ;us0405@kp.mofnet.gov.pl;0405;www.kujawsko-pomorskie.kas.gov.pl/drugi-urzad-skarbowy-w-bydgoszczy
54;kujawsko-pomorskie;US;Trzeci Urząd Skarbowy w Bydgoszczy;85-032;Bydgoszcz;Tadeusza Rejtana ;5;85-032 Bydgoszcz, Tadeusza Rejtana  5;Bydgoszcz;(52) 339-74-00;(52) 339-75-00;us0406@kp.mofnet.gov.pl;0406;www.kujawsko-pomorskie.kas.gov.pl/trzeci-urzad-skarbowy-w-bydgoszczy
55;kujawsko-pomorskie;US;Urząd Skarbowy w Chełmnie;86-200;Chełmno;Grudziądzka ;6;86-200 Chełmno, Grudziądzka  6;Chełmno;(56) 677-05-11;(56) 677-05-10;us0407@kp.mofnet.gov.pl;0407;www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-chelmnie
56;kujawsko-pomorskie;US;Urząd Skarbowy w Grudziądzu;86-300;Grudziądz;Droga Łąkowa ;23;86-300 Grudziądz, Droga Łąkowa  23;Grudziądz;(56) 643-33-30;(56) 643-33-35;us0408@kp.mofnet.gov.pl ;0408;www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-grudziadzu
57;kujawsko-pomorskie;US;Urząd Skarbowy w Inowrocławiu;88-100;Inowrocław;al. Niepodległości ;5;88-100 Inowrocław, al. Niepodległości  5;Inowrocław;(52) 587-60-00;(52) 587-60-01;us0409@kp.mofnet.gov.pl;0409;www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-inowroclawiu
58;kujawsko-pomorskie;US;Urząd Skarbowy w Lipnie;87-600;Lipno;Stanisława Staszica ;4;87-600 Lipno, Stanisława Staszica  4;Lipno;"(54) 287-28-32; (54) 287-25-75";(54) 287-28-46;us0410@kp.mofnet.gov.pl;0410;www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-lipnie
59;kujawsko-pomorskie;US;Urząd Skarbowy w Mogilnie;88-300;Mogilno;900-lecia ;20;88-300 Mogilno, 900-lecia  20;Mogilno;(52) 568-27-27, (52) 568-27-20;(52) 568-27-99;us0411@kp.mofnet.gov.pl;0411;www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-mogilnie
60;kujawsko-pomorskie;US;Urząd Skarbowy w Nakle nad Notecią;89-100;Nakło nad Notecią;Sądowa ;8;89-100 Nakło nad Notecią, Sądowa  8;Nakło nad Notecią;"(52) 386-92-22; (52) 386-92-10; (52) 386-92-11 Nacz.";(52) 386-92-88;us0412@kp.mofnet gov.pl;0412;www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-nakle-nad-notecia
61;kujawsko-pomorskie;US;Urząd Skarbowy w Radziejowie;88-200;Radziejów;Rolnicza ;6;88-200 Radziejów, Rolnicza  6;Radziejów;"(54) 285-36-76; (54) 285-22-88;";(54) 285-36-75;us0413@kp.mofnet.gov.pl;0413;www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-radziejowie
62;kujawsko-pomorskie;US;Urząd Skarbowy w Rypinie;87-500;Rypin;Dojazdowa ;10;87-500 Rypin, Dojazdowa  10;Rypin;(54) 280-45-10;(54) 280-26-38;us0414@kp.mofnet.gov.pl;0414;www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-rypinie
63;kujawsko-pomorskie;US;Urząd Skarbowy w Świeciu ;86-100;Świecie;10 Lutego ;16;86-100 Świecie, 10 Lutego  16;Świecie;(52) 332-44-49 do 53;(52) 332-45-50;us0415@kp.mofnet.gov.pl;0415;www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-swieciu
64;kujawsko-pomorskie;US;Pierwszy Urząd Skarbowy w Toruniu;87-100;Toruń;Szosa Chełmińska ;34/36;87-100 Toruń, Szosa Chełmińska  34/36;Toruń;(056) 610-91-00;(56) 610-91-11;us0416@kp.mofnet.gov.pl;0416;www.kujawsko-pomorskie.kas.gov.pl/pierwszy-urzad-skarbowy-w-toruniu
65;kujawsko-pomorskie;US;Drugi Urząd Skarbowy w Toruniu;87-100;Toruń;Mazowiecka ;63;87-100 Toruń, Mazowiecka  63;Toruń;"(56) 664-77-00; Nacz: (56) 664-77-77 ";(56) 664-78-20;us0417@kp.mofnet.gov.pl;0417;www.kujawsko-pomorskie.kas.gov.pl/drugi-urzad-skarbowy-w-toruniu
66;kujawsko-pomorskie;US;Urząd Skarbowy w Tucholi;89-500;Tuchola;Plac Zamkowy ;4;89-500 Tuchola, Plac Zamkowy  4;Tuchola;(52) 336-33-00;(52) 336-33-27;us0418@kp.mofnet.gov.pl;0418;www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-tucholi
67;kujawsko-pomorskie;US;Urząd Skarbowy w Wąbrzeźnie;87-200;Wąbrzeźno;Macieja Rataja ;2;87-200 Wąbrzeźno, Macieja Rataja  2;Wąbrzeźno;"(56) 689 05 00; (56) 689 05 01";(56) 689 05 26;us0419@kp.mofnet.gov.pl;0419;www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-wabrzeznie
68;kujawsko-pomorskie;US;Urząd Skarbowy we Włocławku;87-800;Włocławek;Stefana Okrzei ;72B;87-800 Włocławek, Stefana Okrzei  72B;Włocławek;(54) 231-34-31;(54) 231-19-84;us0420@kp.mofnet.gov.pl;0420;www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-we-wloclawku
69;kujawsko-pomorskie;US;Urząd Skarbowy w Żninie;88-400 ;Żnin;Klemensa Janickiego ;18;88-400  Żnin, Klemensa Janickiego  18;Żnin;(52) 303-04-00;(52) 303-13-45;us0421@kp.mofnet.gov.pl ;0421;www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-zninie
70;kujawsko-pomorskie;US;Urząd Skarbowy w Golubiu-Dobrzyniu;87-400;Golub-Dobrzyń;Dr. Jerzego Gerarda Koppa ;1A;87-400 Golub-Dobrzyń, Dr. Jerzego Gerarda Koppa  1A;Golub-Dobrzyń;(56) 491-80-20;(56) 491-80-49;us0422@kp.mofnet.gov.pl;0422;www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-golubiu-dobrzyniu
71;kujawsko-pomorskie;US;Urząd Skarbowy w Sępólnie Krajeńskim;89-400;Sępólno Krajeńskie;Tadeusza Kościuszki ;22;89-400 Sępólno Krajeńskie, Tadeusza Kościuszki  22;Sępólno Krajeńskie;(52) 388-83-10;(52) 388-83-23;us0423@kp.mofnet.gov.pl;0423;www.kujawsko-pomorskie.kas.gov.pl/urzad-skarbowy-w-sepolnie-krajenskim
72;kujawsko-pomorskie;WUS;Kujawsko-Pomorski Urząd Skarbowy w Bydgoszczy;85-236;Bydgoszcz;Grunwaldzka ;50;85-236 Bydgoszcz, Grunwaldzka  50;Bydgoszcz;(52) 583-84-00;(52) 583-84-06;us0471@kp.mofnet.gov.pl;0471;www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-skarbowy-w-bydgoszczy
73;kujawsko-pomorskie;UCS;Kujawsko-Pomorski Urząd Celno-Skarbowy w Toruniu;87-100;Toruń;Batorego ;61;87-100 Toruń, Batorego  61;Toruń;56 619 76 02,56 619 76 00,56 619 77 72                                        ;56 619 77 27                                                                    ;uc.torun@tor.mofnet.gov.pl;438000;www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-celno-skarbowy-w-toruniu
74;kujawsko-pomorskie;DUCS;Delegatura UCS w Bydgoszczy;85-039;Bydgoszcz;Hetmańska ;28;85-039 Bydgoszcz, Hetmańska  28;Bydgoszcz;52 347 78 00                                                                    ;52 347 78 80                                                                    ;uc.bydgoszcz@tor.mofnet.gov.pl;431000;www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-celno-skarbowy-w-toruniu
75;kujawsko-pomorskie;OC;Oddział Celny II w Bydgoszczy;85-152;Bydgoszcz;Daleka;9;85-152 Bydgoszcz, Daleka 9;Bydgoszcz;52 320 58 00                                                                    ;52 320 58 50                                                                    ;ocbydgoszcz2@tor.mofnet.gov.pl;431020;www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-celno-skarbowy-w-toruniu
76;kujawsko-pomorskie;OC;Oddział Celny w Inowrocławiu;88-100;Latkowo;;11;88-100 Latkowo,  11;Inowrocław;52 356 41 00                                                                    ;52 515 63 95                                                                    ;oc.inowroclaw@tor.mofnet.gov.pl;431030;www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-celno-skarbowy-w-toruniu
77;kujawsko-pomorskie;DUCS;Delegatura UCS w Toruniu;87-100;Toruń;Mazowiecka ;63;87-100 Toruń, Mazowiecka  63;Toruń;56 611 73 00;56 611 74 60                                                                    ;ic.torun@tor.mofnet.gov.pl;432000;www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-celno-skarbowy-w-toruniu
78;kujawsko-pomorskie;OC;Oddział Celny w Toruniu;87-100;Toruń;Batorego ;61;87-100 Toruń, Batorego  61;Toruń;56 619 76 03, 56 619 76 04                                                      ;56 619 77 30                                                                    ;octorun@tor.mofnet.gov.pl;432010;www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-celno-skarbowy-w-toruniu
79;kujawsko-pomorskie;OC;Oddział Celny we Włocławku;87-800;Włocławek;Krzywa Góra ;28;87-800 Włocławek, Krzywa Góra  28;Włocławek;54 230 68 00                                                                    ;54 230 68 30                                                                    ;oc.wloclawek@tor.mofnet.gov.pl;432030;www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-celno-skarbowy-w-toruniu
80;kujawsko-pomorskie;OC;Oddział Celny w Grudziądzu;86-302;Biały Bór, Grudziądz 4;;;86-302 Biały Bór, Grudziądz 4,  ;Grudziądz;56 450 77 00, 56 450 77 02                                                      ;56 450 77 30                                                                    ;ocgrudziadz@tor.mofnet.gov.pl;432040;www.kujawsko-pomorskie.kas.gov.pl/kujawsko-pomorski-urzad-celno-skarbowy-w-toruniu
